vname, ,pos,team,season,g,comp,att,pyds,ptd,ptdr,py/a,intc
Tom,Brady,QB,NE,2012,16,401,637,4827,34,5.3,7.6,8
Peyton,Manning,QB,DEN,2012,16,400,583,4659,37,6.3,8,11
Andrew,Luck,QB,IND,2012,16,339,627,4374,23,3.6,7,18
Carson,Palmer,QB,OAK,2012,15,345,565,4018,22,3.8,7.1,14
Matt,Schaub,QB,HOU,2012,16,350,544,4008,22,4.0,7.4,12
Joe,Flacco,QB,BAL,2012,16,317,531,3817,22,4.1,7.2,10
Any,Dalton,QB,CIN,2012,16,329,528,3669,27,5.1,6.9,16
Philip,Rivers,QB,SD,2012,16,338,527,3606,26,4.9,6.8,15
Ryan,Fitzpatrick,QB,BUF,2012,16,306,505,3400,24,4.8,6.7,16
Brandon,Weeden,QB,CLE,2012,15,297,517,3385,14,2.7,6.5,17
Ryan,Tannehill,QB,MIA,2012,16,282,484,3294,12,2.5,6.8,13
Ben,Roethlisberger,QB,PIT,2012,13,284,449,3265,26,5.8,7.3,8
Mark,Sanchez,QB,NYJ,2012,15,246,453,2883,13,2.9,6.4,18
Jake,Locker,QB,TEN,2012,11,177,314,2176,10,3.2,6.9,11
Chad,Henne,QB,JAX,2012,10,166,308,2084,11,3.6,6.8,11
Matt,Cassel,QB,KC,2012,9,161,277,1796,6,2.2,6.5,12
Blaine,Gabbert,QB,JAX,2012,10,162,278,1662,9,3.2,6.0,6
Matt,Hasselbeck,QB,TEN,2012,8,138,221,1367,7,3.2,6.2,5
Brady,Quinn,QB,KC,2012,10,112,197,1141,2,1.0,5.8,8
Drew,Brees,QB,NO,2012,16,422,670,5177,43,6.4,7.7,19
Matthew,Stafford,QB,DET,2012,16,435,727,4967,20,2.8,6.8,17
Tony,Romo,QB,DAL,2012,16,425,648,4903,28,4.3,7.6,19
Matt,Ryan,QB,ATL,2012,16,422,615,4719,32,5.2,7.7,14
Aaron,Rodgers,QB,GB,2012,16,371,552,4295,39,7.1,7.8,8
Josh,Freeman,QB,TB,2012,16,306,558,4065,27,4.8,7.3,17
Eli,Manning,QB,NYG,2012,16,321,536,3948,26,4.9,7.4,15
Cam,Newton,QB,CAR,2012,16,280,485,3869,19,3.9,8.0,12
